"Notes"	"Year"	"Year Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"2008"	"2008"	"Arizona"	"04"	28239
	"2008"	"2008"	"Arkansas"	"05"	15288
	"2008"	"2008"	"California"	"06"	164457
	"2008"	"2008"	"Colorado"	"08"	21788
	"2008"	"2008"	"Connecticut"	"09"	21786
	"2008"	"2008"	"Delaware"	"10"	5480
	"2008"	"2008"	"District of Columbia"	"11"	2854
	"2008"	"2008"	"Florida"	"12"	116042
	"2008"	"2008"	"Georgia"	"13"	44654
	"2008"	"2008"	"Hawaii"	"15"	6970
	"2008"	"2008"	"Idaho"	"16"	7362
	"2008"	"2008"	"Illinois"	"17"	68795
	"2008"	"2008"	"Indiana"	"18"	33541
	"2008"	"2008"	"Iowa"	"19"	17528
	"2008"	"2008"	"Kansas"	"20"	14977
	"2008"	"2008"	"Kentucky"	"21"	25374
	"2008"	"2008"	"Louisiana"	"22"	23570
	"2008"	"2008"	"Maine"	"23"	8808
	"2008"	"2008"	"Maryland"	"24"	29726
	"2008"	"2008"	"Massachusetts"	"25"	39625
	"2008"	"2008"	"Michigan"	"26"	55681
	"2008"	"2008"	"Minnesota"	"27"	28026
	"2008"	"2008"	"Mississippi"	"28"	15696
	"2008"	"2008"	"Missouri"	"29"	32152
	"2008"	"2008"	"Montana"	"30"	5558
	"2008"	"2008"	"Nebraska"	"31"	9741
	"2008"	"2008"	"Nevada"	"32"	12267
	"2008"	"2008"	"New Hampshire"	"33"	8042
	"2008"	"2008"	"New Jersey"	"34"	51467
	"2008"	"2008"	"New Mexico"	"35"	9241
	"2008"	"2008"	"New York"	"36"	113262
	"2008"	"2008"	"North Carolina"	"37"	49710
	"2008"	"2008"	"North Dakota"	"38"	3630
	"2008"	"2008"	"Ohio"	"39"	65302
	"2008"	"2008"	"Oklahoma"	"40"	19432
	"2008"	"2008"	"Oregon"	"41"	21165
	"2008"	"2008"	"Pennsylvania"	"42"	80237
	"2008"	"2008"	"Rhode Island"	"44"	6507
	"2008"	"2008"	"South Carolina"	"45"	24402
	"2008"	"2008"	"South Dakota"	"46"	4269
	"2008"	"2008"	"Tennessee"	"47"	34035
	"2008"	"2008"	"Texas"	"48"	102958
	"2008"	"2008"	"Utah"	"49"	9151
	"2008"	"2008"	"Vermont"	"50"	3705
	"2008"	"2008"	"Virginia"	"51"	39004
	"2008"	"2008"	"Washington"	"53"	34670
	"2008"	"2008"	"West Virginia"	"54"	11622
	"2008"	"2008"	"Wisconsin"	"55"	31236
	"2008"	"2008"	"Wyoming"	"56"	2608
	"2008"	"2008"	"Puerto Rico"	"72"	13726
	"2009"	"2009"	"Alabama"	"01"	26111
	"2009"	"2009"	"Alaska"	"02"	2795
	"2009"	"2009"	"Arizona"	"04"	29696
	"2009"	"2009"	"Arkansas"	"05"	15480
	"2009"	"2009"	"California"	"06"	166708
	"2009"	"2009"	"Colorado"	"08"	22528
	"2009"	"2009"	"Connecticut"	"09"	22246
	"2009"	"2009"	"Delaware"	"10"	5559
	"2009"	"2009"	"District of Columbia"	"11"	2941
	"2009"	"2009"	"Florida"	"12"	115886
	"2009"	"2009"	"Georgia"	"13"	45507
	"2009"	"2009"	"Hawaii"	"15"	7071
	"2009"	"2009"	"Idaho"	"16"	7608
	"2009"	"2009"	"Illinois"	"17"	69294
	"2009"	"2009"	"Indiana"	"18"	33547
	"2009"	"2009"	"Iowa"	"19"	18172
	"2009"	"2009"	"Kansas"	"20"	14801
	"2009"	"2009"	"Kentucky"	"21"	25577
	"2009"	"2009"	"Louisiana"	"22"	24363
	"2009"	"2009"	"Maine"	"23"	8699
	"2009"	"2009"	"Maryland"	"24"	29774
	"2009"	"2009"	"Massachusetts"	"25"	39450
	"2009"	"2009"	"Michigan"	"26"	56284
	"2009"	"2009"	"Minnesota"	"27"	27976
	"2009"	"2009"	"Mississippi"	"28"	15487
	"2009"	"2009"	"Missouri"	"29"	33248
	"2009"	"2009"	"Montana"	"30"	5832
	"2009"	"2009"	"Nebraska"	"31"	9373
	"2009"	"2009"	"Nevada"	"32"	12691
	"2009"	"2009"	"New Hampshire"	"33"	8001
	"2009"	"2009"	"New Jersey"	"34"	51953
	"2009"	"2009"	"New Mexico"	"35"	9311
	"2009"	"2009"	"New York"	"36"	114150
	"2009"	"2009"	"North Carolina"	"37"	51784
	"2009"	"2009"	"North Dakota"	"38"	3602
